year,date,title,filename,url
2025,13 June 2025,"Circular on Revised BCA Green Mark Criteria for User-Centric Schemes – New BCA Green Mark for Interiors (GMI) Scheme [PDF, 206 KB]",circular-on-revised-bca-green-mark-criteria-for-user-centric-schemes-new-bca-green-mark-for-interiors-(gmi)-scheme.pdf,https://isomer-user-content.by.gov.sg/338/c2b3f8a5-4f17-436a-ab31-725175ea82a2/circular-on-revised-bca-green-mark-criteria-for-user-centric-schemes-new-bca-green-mark-for-interiors-(gmi)-scheme.pdf
2025,2 June 2025,"Advisory to Reflect Maintenance Spaces Requiring Access by Maintenance Personnel in Building Plans [PDF, 104 KB]",circular-on-advisory-to-reflect-maintenance-spaces-requiring-access-by-maintenance-personnel-in-building-plans.pdf,https://isomer-user-content.by.gov.sg/338/a38d632e-1d14-4ff9-988d-122b5d446324/circular-on-advisory-to-reflect-maintenance-spaces-requiring-access-by-maintenance-personnel-in-building-plans.pdf
2025,2 June 2025,"Circular on Building Control (Periodic Inspection of Buildings and Building Facades) Regulations 2025: Legislative Amendments [PDF, 130 KB]",circular-facade-inspectors-regulations-amendments.pdf,https://isomer-user-content.by.gov.sg/338/5be93c1c-bf99-4666-a6f8-8ded47745cd3/circular-facade-inspectors-regulations-amendments.pdf
2025,2 June 2025,"Circular on the Implementation of Mandatory Energy Improvement (MEI) Regime [PDF, 147 KB]",circular-on-the-implementation-of-mei-regime.pdf,https://isomer-user-content.by.gov.sg/338/c71b6062-34bd-487c-8fe6-98f3732a80a6/circular-on-the-implementation-of-mei-regime.pdf
2025,2 June 2025,"Joint Circular on Multi-Agency Position on Double Slab Design [PDF, 168 KB]",joint-circular-on-multi-agency-position-on-double-slab-design.pdf,https://isomer-user-content.by.gov.sg/338/8c027be3-ef74-491d-8b4a-52794d0f9c5c/joint-circular-on-multi-agency-position-on-double-slab-design.pdf
2025,2 June 2025,"Reminder on Regular Inspection and Maintenance of Buildings to Enhance Safety [PDF, 133 KB]",circular---reminder-on-regular-inspection-and-maintenance-of-buildings-to-enhance-safety.pdf,https://isomer-user-content.by.gov.sg/338/fda5fe81-eecf-44d4-877d-834786aa8656/circular---reminder-on-regular-inspection-and-maintenance-of-buildings-to-enhance-safety.pdf
2025,23 May 2025,"Circular on Use of Accredited Drone Service Providers for Periodic Façade Inspections [PDF, 266 KB]",circular-on-use-of-accredited-drone-service-providers-for-periodic-facade-inspections.pdf,https://isomer-user-content.by.gov.sg/338/f9273329-bfb2-418c-b8e2-52750d374b42/circular-on-use-of-accredited-drone-service-providers-for-periodic-facade-inspections.pdf
2025,21 May 2025,"Circular on Fees Payable for Application for Approval of Plans for Façade Addition and Alteration (A&A) Works [PDF, 193 KB]",circular-on-fees-payable-for-application-for-approval-of-plans-for-facade-addition-and-alteratio.pdf,https://isomer-user-content.by.gov.sg/338/d17a031a-be55-4464-8451-4657e2c401eb/circular-on-fees-payable-for-application-for-approval-of-plans-for-facade-addition-and-alteratio.pdf
2025,7 April 2025,"Circular on Built Environment Technology and Capability (BETC) Grant for Built Environment Firms [PDF, 139 KB]",circular-on-built-environment-technology-and-capability-(betc)-grant-for-built-environment-firms.pdf,https://isomer-user-content.by.gov.sg/338/7b853e9f-16dd-419c-8515-827d96bcdec4/circular-on-built-environment-technology-and-capability-(betc)-grant-for-built-environment-firms.pdf
2025,7 April 2025,"Circular on Code on Accessibility in the Built Environment 2025 [PDF, 332 KB]",circular---code-on-accessibility-in-the-built-environment-2025.pdf,https://isomer-user-content.by.gov.sg/338/41e161a0-40b4-4998-bb89-9f1deff86fe9/circular---code-on-accessibility-in-the-built-environment-2025.pdf
